NET_RATING_ADJUSTED,OFF_RATING_ADJUSTED,DEF_RATING_ADJUSTED,TS_PCT,EFG_PCT,PLAYER_NAME,TEAM_ABBREVIATION,COMPOSITE_SCORE
12.064705882352941,4.294117647058812,7.78235294117647,0.5741804511278196,0.5454461152882205,Seth Curry,CHA,3.7285147204943767
9.792857142857143,6.564285714285717,3.2285714285714278,0.5741804511278196,0.5454461152882205,Chris Boucher,TOR,3.0463930777147765
9.62142857142857,8.749999999999986,0.8714285714285808,0.5741804511278196,0.5454461152882205,Neemias Queta,BOS,3.0090508964291565
9.492307692307692,3.9769230769230717,5.623076923076923,0.5741804511278196,0.5454461152882205,OG Anunoby,NYK,2.9522852865478795
9.466666666666667,0.8416666666666686,8.608333333333334,0.5741804511278196,0.5454461152882205,Devonte' Graham,SAS,2.904204175507059
8.827272727272728,7.845454545454558,0.9636363636363683,0.5741804511278196,0.5454461152882205,Nikola Jokić,DEN,2.756720258370093
8.592307692307692,6.076923076923066,2.5230769230769283,0.5741804511278196,0.5454461152882205,Isaiah Hartenstein,NYK,2.676268238354957
8.492307692307692,7.07692307692308,1.423076923076934,0.5741804511278196,0.5454461152882205,Jusuf Nurkić,PHX,2.6525744057617135
8.327272727272728,7.845454545454558,0.5636363636363626,0.5741804511278196,0.5454461152882205,Kentavious Caldwell-Pope,DEN,2.618334076553466
8.461538461538462,1.0538461538461519,7.3923076923077105,0.5741804511278196,0.5454461152882205,Jonathan Isaac,ORL,2.5978718564411687
8.391666666666667,4.625,3.6499999999999915,0.5741804511278196,0.5454461152882205,Dante Exum,DAL,2.5862596733644465
8.414285714285715,0.6357142857142861,7.671428571428578,0.5741804511278196,0.5454461152882205,Robert Covington,PHI,2.5668824065127818
8.121428571428572,2.778571428571425,5.328571428571422,0.5741804511278196,0.5454461152882205,Day'Ron Sharpe,BKN,2.505801093437272
7.976923076923077,6.123076923076923,1.8461538461538538,0.5741804511278196,0.5454461152882205,Paul George,LAC,2.4857384938864544
7.7214285714285715,1.9500000000000028,5.771428571428572,0.5741804511278196,0.5454461152882205,Svi Mykhailiuk,BOS,2.3795915224040516
7.433333333333334,2.583333333333343,4.958333333333343,0.5741804511278196,0.5454461152882205,Jose Alvarado,NOP,2.311774721388557
7.341666666666667,2.6000000000000085,4.75,0.5741804511278196,0.5454461152882205,Jock Landale,HOU,2.268975042026721
7.192307692307692,6.976923076923072,0.22307692307693117,0.5741804511278196,0.5454461152882205,Jalen Brunson,NYK,2.2535265639382738
7.322222222222221,1.49444444444444,5.74444444444444,0.5741804511278196,0.5454461152882205,Quentin Grimes,DET,2.24174363525035
7.1416666666666675,0.29999999999999716,6.950000000000003,0.5741804511278196,0.5454461152882205,Tari Eason,HOU,2.2065344505606626
7.076923076923077,4.223076923076917,2.846153846153854,0.5741804511278196,0.5454461152882205,Kawhi Leonard,LAC,2.1967531305157504
7.15625,-0.6937500000000085,7.856250000000003,0.5741804511278196,0.5454461152882205,Lamar Stevens,MEM,2.1889624945722526
6.821428571428572,5.921428571428578,0.914285714285711,0.5741804511278196,0.5454461152882205,Shai Gilgeous-Alexander,OKC,2.133523047670075
6.792857142857144,4.164285714285711,2.6285714285714192,0.5741804511278196,0.5454461152882205,Jakob Poeltl,TOR,2.11044010092471
6.74,4.200000000000003,2.6399999999999864,0.5741804511278196,0.5454461152882205,Nikola Jović,MIA,2.109317999256594
6.722222222222221,6.394444444444446,0.34444444444443434,0.5741804511278196,0.5454461152882205,Simone Fontecchio,DET,2.1067635651636705
6.575,4.933333333333323,1.74166666666666,0.5741804511278196,0.5454461152882205,Lauri Markkanen,UTA,2.0638535304445074
6.614285714285715,4.835714285714289,1.7714285714285722,0.5741804511278196,0.5454461152882205,Joel Embiid,PHI,2.0593278086649556
6.375000000000001,4.933333333333323,1.4416666666666629,0.5741804511278196,0.5454461152882205,Kris Dunn,UTA,1.9877419584001155
6.392857142857143,3.7642857142857196,2.6285714285714192,0.5741804511278196,0.5454461152882205,Immanuel Quickley,TOR,1.985090474392227
6.314285714285714,7.035714285714292,-0.7285714285714278,0.5741804511278196,0.5454461152882205,De'Anthony Melton,PHI,1.9826873479471263
6.161538461538462,4.361538461538473,1.892307692307682,0.5741804511278196,0.5454461152882205,Damian Lillard,MIL,1.932044695487916
6.109090909090909,3.200000000000003,2.8999999999999915,0.5741804511278196,0.5454461152882205,Trey Lyles,SAC,1.8928683854928225
