PLAYER_ID,PLAYER_NAME,SEASON,ON_COURT_NET,OFF_COURT_NET,ON_OFF_DIFF,ON_MIN_TOTAL
201980,Danny Green,2021-22,2.82,3.01,-0.19,1358
201980,Danny Green,2022-23,-1.16,5.36,-6.53,137
201980,Danny Green,2023-24,7.3,3.87,3.43,20
201988,Patty Mills,2021-22,0.82,-0.54,1.36,2354
201988,Patty Mills,2022-23,-5.93,1.66,-7.59,570
201988,Patty Mills,2023-24,1.12,0.04,1.09,420
202066,Garrett Temple,2021-22,-13.79,4.12,-17.91,1097
202066,Garrett Temple,2022-23,0.7,2.11,-1.41,159
202066,Garrett Temple,2023-24,-10.73,-5.17,-5.56,292
202083,Wesley Matthews,2021-22,7.35,0.89,6.46,1000
202083,Wesley Matthews,2022-23,0.69,1.57,-0.88,823
202083,Wesley Matthews,2023-24,-4.95,-0.91,-4.05,415
202322,John Wall,2022-23,-4.85,3.13,-7.97,758
202324,Derrick Favors,2021-22,-10.56,-7.48,-3.09,658
202326,DeMarcus Cousins,2021-22,1.62,2.95,-1.33,714
202328,ID_202328,2021-22,-6.63,3.49,-10.12,179
202330,Gordon Hayward,2021-22,-0.05,2.27,-2.33,1564
202330,Gordon Hayward,2022-23,-3.07,-6.68,3.61,1575
202330,Gordon Hayward,2023-24,-4.26,-3.37,-0.89,1250
202331,Paul George,2021-22,4.47,-1.12,5.58,1077
202331,Paul George,2022-23,4.96,-1.62,6.58,1947
202331,Paul George,2023-24,8.52,-5.94,14.46,2504
202334,ID_202334,2021-22,3.28,1.39,1.9,203
202339,Eric Bledsoe,2021-22,-1.1,1.19,-2.29,1364
202340,Avery Bradley,2021-22,-4.41,-2.11,-2.3,1397
202355,Hassan Whiteside,2021-22,9.64,4.73,4.9,1161
202357,Nemanja Bjelica,2021-22,4.84,5.91,-1.07,1140
202362,Lance Stephenson,2021-22,-4.94,-0.54,-4.4,815
202397,Ish Smith,2021-22,-6.6,-0.55,-6.06,1125
202397,Ish Smith,2022-23,-3.84,3.34,-7.18,402
202397,Ish Smith,2023-24,-16.22,-7.92,-8.3,741
202681,Kyrie Irving,2021-22,4.85,-1.48,6.33,1095
