PLAYER_A_ID,PLAYER_B_ID,GROUP_NAME,MIN,DEF_SYNERGY,OFF_SYNERGY,NET_SYNERGY,W_NET_SYNERGY_SCALED,ARCHETYPE_A,ARCHETYPE_B
202709,1641764,C. Joseph - B. Podziemski,197,2.1,1.25,3.35,2.68,Bench / Role Player,Perimeter Scorer
200768,1627741,K. Lowry - B. Hield,197,2.85,-13.65,-10.8,-8.64,Bench / Role Player,Perimeter Scorer
203496,1629001,R. Covington - D. Melton,197,-2,-7.4,-9.4,-7.52,Defensive Wing,Perimeter Scorer
1628418,1629312,T. Bryant - H. Highsmith,197,4.45,6.45,10.9,8.72,Defensive Wing,Bench / Role Player
202699,203496,T. Harris - R. Covington,197,3.5,3.1,6.6,5.28,Perimeter Scorer,Defensive Wing
202330,1631096,G. Hayward - C. Holmgren,196,-2.9,-3.1,-6,-4.8,Bench / Role Player,Two-Way Big
1629723,1631367,J. Konchar - J. Gilyard,196,-9.05,-5.85,-14.9,-11.92,Defensive Wing,Bench / Role Player
1630165,1630587,K. Hayes - I. Livers,196,-0.8,-4.4,-5.2,-4.16,Versatile Scorer,Bench / Role Player
203482,1631241,K. Olynyk - J. Freeman-Liberty,195,-1.7,5.45,3.75,3,Perimeter Scorer,Bench / Role Player
202083,1630168,W. Matthews - O. Okongwu,195,-1.45,1.7,0.25,0.2,Bench / Role Player,Two-Way Big
1626164,1630692,D. Booker - J. Goodwin,194,-3.1,5.15,2.05,1.64,Elite Playmaker,Versatile Scorer
203957,1630702,D. Exum - J. Hardy,194,-4.4,-2.8,-7.2,-5.76,Perimeter Scorer,Bench / Role Player
1628372,1630592,D. Smith Jr. - J. Wilson,194,-1.85,5.75,3.9,3.12,Defensive Wing,Defensive Wing
1631098,1631116,J. Davis - P. Baldwin Jr.,194,-5.7,2.65,-3.05,-2.44,Bench / Role Player,Defensive Wing
200782,1626181,P. Tucker - N. Powell,194,-3.05,-8.7,-11.75,-9.4,Bench / Role Player,Perimeter Scorer
1629656,1630173,Q. Grimes - P. Achiuwa,194,4.3,3.05,7.35,5.88,Defensive Wing,Bench / Role Player
1631117,1641729,W. Kessler - B. Sensabaugh,194,-7.35,-0.45,-7.8,-6.24,Two-Way Big,Bench / Role Player
202709,1630228,C. Joseph - J. Kuminga,193,1,3.55,4.55,3.64,Bench / Role Player,Perimeter Scorer
1629731,1630241,D. Wade - S. Merrill,193,4.7,-8.05,-3.35,-2.68,Defensive Wing,Bench / Role Player
1629726,1630249,G. Mathews - V. Krejci,193,-3.25,6,2.75,2.2,Bench / Role Player,Perimeter Scorer
1630219,1631101,S. Mays - S. Sharpe,193,-2.3,-3.95,-6.25,-5,Bench / Role Player,Versatile Scorer
1630560,1641730,C. Thomas - N. Clowney,192,-2.8,-0.25,-3.05,-2.44,Versatile Scorer,Bench / Role Player
1629656,1630540,Q. Grimes - M. McBride,192,3.75,-12.15,-8.4,-6.72,Defensive Wing,Bench / Role Player
1626179,1630163,T. Rozier - L. Ball,192,-4.6,6.4,1.8,1.44,Versatile Scorer,Elite Playmaker
1626174,1629637,C. Wood - J. Hayes,191,2.75,-14.65,-11.9,-9.52,Defensive Wing,Bench / Role Player
203939,203957,D. Powell - D. Exum,191,-0.95,-1.7,-2.65,-2.12,Bench / Role Player,Perimeter Scorer
1628976,1631216,W. Carter Jr. - C. Houstan,191,3.2,6.6,9.8,7.84,Bench / Role Player,Bench / Role Player
201572,1630699,B. Lopez - M. Beauchamp,190,6,-4.9,1.1,0.88,Two-Way Big,Bench / Role Player
1626164,1629642,D. Booker - N. Little,190,2.4,-0.35,2.05,1.64,Elite Playmaker,Bench / Role Player
1630549,1630592,D. Sharpe - J. Wilson,190,-1.3,1.7,0.4,0.32,Defensive Wing,Defensive Wing
203994,1630692,J. Nurkic - J. Goodwin,190,3.6,-3.85,-0.25,-0.2,Defensive Wing,Versatile Scorer
1629004,1629052,S. Mykhailiuk - O. Brissett,190,5.4,-6.45,-1.05,-0.84,Defensive Wing,Bench / Role Player
1628971,1630188,B. Brown - J. Smith,189,3.2,5.55,8.75,7,Versatile Scorer,Bench / Role Player
1626153,1629013,D. Wright - L. Shamet,189,2.95,-1,1.95,1.56,Versatile Scorer,Bench / Role Player
1630224,1631106,J. Green - T. Eason,189,-2.55,-7.1,-9.65,-7.72,Versatile Scorer,Defensive Wing
1630228,1631311,J. Kuminga - L. Quinones,189,-0.5,-4.15,-4.65,-3.72,Perimeter Scorer,Bench / Role Player
1629673,1631116,J. Poole - P. Baldwin Jr.,189,-1.55,-5.8,-7.35,-5.88,Versatile Scorer,Defensive Wing
203995,1630598,V. Micić - A. Wiggins,189,6.9,4.35,11.25,9,Versatile Scorer,Perimeter Scorer
1631104,1631230,B. Wesley - D. Barlow,188,-1.7,-4.45,-6.15,-4.92,Bench / Role Player,Perimeter Scorer
202330,1641717,G. Hayward - C. Wallace,188,3.4,-4.65,-1.25,-1,Bench / Role Player,Bench / Role Player
1628371,1641710,J. Isaac - A. Black,188,3.7,-0.9,2.8,2.24,Defensive Wing,Bench / Role Player
1630592,1641730,J. Wilson - N. Clowney,188,11.05,-1.9,9.15,7.32,Defensive Wing,Bench / Role Player
1628379,1630214,L. Kennard - X. Tillman,188,4.3,0.7,5,4,Bench / Role Player,Bench / Role Player
1630209,1641707,O. Yurtseven - T. Hendricks,188,-6.4,-0.4,-6.8,-5.44,Bench / Role Player,Bench / Role Player
204456,1641716,T. McConnell - J. Walker,188,2.6,4.45,7.05,5.64,Elite Playmaker,Bench / Role Player
1626179,1629639,T. Rozier - T. Herro,188,-3.55,3.55,0,0,Versatile Scorer,Versatile Scorer
202711,1628973,B. Bogdanovic - J. Brunson,187,9.55,-5.75,3.8,3.04,Bench / Role Player,Elite Playmaker
1629312,1631107,H. Highsmith - N. Jovic,187,0.85,-3.15,-2.3,-1.84,Bench / Role Player,Perimeter Scorer
201144,1628972,M. Conley - T. Brown Jr.,187,0.9,10.25,11.15,8.92,Perimeter Scorer,Bench / Role Player
1628384,1630540,O. Anunoby - M. McBride,187,16.2,-5.8,10.4,8.32,Perimeter Scorer,Bench / Role Player
1626166,1630231,C. Payne - K. Martin,186,4.55,-2.05,2.5,2,Bench / Role Player,Bench / Role Player
201568,1630166,D. Gallinari - D. Avdija,186,0.55,-5.2,-4.65,-3.72,Bench / Role Player,Perimeter Scorer
1626153,1629312,D. Wright - H. Highsmith,186,-1.45,7.6,6.15,4.92,Versatile Scorer,Bench / Role Player
1631110,1631230,J. Sochan - D. Barlow,186,2.9,3.9,6.8,5.44,Versatile Scorer,Perimeter Scorer
1628467,1641726,M. Kleber - D. Lively II,186,-2.35,6.25,3.9,3.12,Defensive Wing,Two-Way Big
202692,1630540,A. Burks - M. McBride,185,-0.85,-16,-16.85,-13.48,Bench / Role Player,Bench / Role Player
1629028,1641712,D. Ayton - R. Rupert,185,-1.25,-4.95,-6.2,-4.96,Perimeter Scorer,Bench / Role Player
1630191,1631323,I. Stewart - S. Fontecchio,185,11.7,-2.35,9.35,7.48,Perimeter Scorer,Perimeter Scorer
203200,203484,J. Holiday - K. Caldwell-Pope,185,-3.15,19.1,15.95,12.76,Bench / Role Player,Perimeter Scorer
1627739,1630534,K. Dunn - O. Agbaji,185,8.1,3.35,11.45,9.16,Perimeter Scorer,Bench / Role Player
1626179,1628998,T. Rozier - C. Martin,185,1.5,-4.55,-3.05,-2.44,Versatile Scorer,Versatile Scorer
203995,1630197,V. Micic - A. Pokusevski,185,1.4,4.9,6.3,5.04,Versatile Scorer,Defensive Wing
202692,1630587,A. Burks - I. Livers,184,-4.75,-7.15,-11.9,-9.52,Bench / Role Player,Bench / Role Player
202397,1630550,I. Smith - J. Thor,184,6.75,-3,3.75,3,Bench / Role Player,Defensive Wing
1630215,1631098,J. Butler - J. Davis,184,-2.2,-0.05,-2.25,-1.8,Defensive Wing,Bench / Role Player
1628963,1629013,M. Bagley III - L. Shamet,184,4.75,0.6,5.35,4.28,Perimeter Scorer,Bench / Role Player
1628964,1630231,M. Bamba - K. Martin,184,1.3,-4.2,-2.9,-2.32,Bench / Role Player,Bench / Role Player
1627783,1630193,P. Siakam - I. Quickley,184,-1.15,-3.5,-4.65,-3.72,Perimeter Scorer,Perimeter Scorer
1630241,1630596,S. Merrill - E. Mobley,184,-4.8,-5.3,-10.1,-8.08,Bench / Role Player,Two-Way Big
1630533,1631367,Z. Williams - J. Gilyard,184,-10.05,-7.75,-17.8,-14.24,Bench / Role Player,Bench / Role Player
1628381,1641729,J. Collins - B. Sensabaugh,183,-1.9,1.35,-0.55,-0.44,Bench / Role Player,Bench / Role Player
1628371,1630591,J. Isaac - J. Suggs,183,8.35,-2.8,5.55,4.44,Defensive Wing,Perimeter Scorer
1629667,1641711,J. McDaniels - G. Dick,183,3.85,-7.5,-3.65,-2.92,Bench / Role Player,Bench / Role Player
200782,201935,P. Tucker - J. Harden,183,-6.55,-0.95,-7.5,-6,Bench / Role Player,Elite Playmaker
203552,1629684,S. Curry - G. Williams,183,-2.95,1.5,-1.45,-1.16,Defensive Wing,Bench / Role Player
