OFF_RATING_ADJUSTED,DEF_RATING_ADJUSTED,AST_PCT_ADJUSTED,DREB_PCT_ADJUSTED,BLK,STL,TS_PCT,FG3_PCT,PIE_ADJUSTED,PLAYER_NAME,TEAM_ABBREVIATION,SEASON,COMPOSITE_SCORE_NORM,SALARY,VORPD,CLUSTER,ARCHETYPE,PCA_X,PCA_Y
1.3000000000000114,-0.5230769230769141,-0.0713076923076923,-0.0789230769230769,0.1,0.8,0.546,0.342,-0.0532307692307692,Austin Rivers,DEN,2021-22,20.73,925258.0,0.0,5,3-and-D Wing,-2.0352721321375173,0.5666497257988687
-3.453333333333319,0.8066666666666578,-0.0770666666666666,-0.0556666666666666,0.1,0.9,0.55,0.39,-0.0402666666666666,Avery Bradley,LAL,2021-22,20.39,925258.0,0.0,0,Bench / Fringe Player,-2.065002466645229,0.310623814336021
-1.7687499999999972,-3.7249999999999934,0.0514375,-0.0604375,0.4,0.8,0.596,0.376,-0.0217499999999999,Ayo Dosunmu,CHI,2021-22,32.61,5467385.0,2.0185,5,3-and-D Wing,-0.7743400453195979,0.9423637123884592
1.3250000000000028,1.8916666666666653,0.0243333333333333,0.0844166666666667,0.8,1.4,0.608,0.0,0.0548333333333333,Bam Adebayo,MIA,2021-22,69.79,26976262.0,1.7873,4,Rim Protector,3.159065538244886,-0.9313427818256116
-3.309999999999988,-0.7249999999999943,-0.09235,-0.0635,0.2,0.6,0.567,0.362,-0.0179999999999999,Ben McLemore,POR,2021-22,23.56,925258.0,2.1464,0,Bench / Fringe Player,-1.7549121474413305,-0.2022935029410943
-0.1214285714285807,0.0714285714285694,-0.0880714285714285,0.0582857142857142,0.7,0.3,0.596,0.0,-0.0061428571428571,Bismack Biyombo,PHX,2021-22,44.71,1669826.0,13.8553,4,Rim Protector,0.434264666474301,-2.9836968527077072
-3.799999999999997,-1.1812500000000057,0.028375,0.030625,0.3,0.5,0.518,0.262,-0.00725,Blake Griffin,BKN,2021-22,31.79,925258.0,11.0412,0,Bench / Fringe Player,-0.886718493317895,-0.4707696300941948
2.8499999999999943,0.6714285714285779,-0.0694285714285714,0.0849999999999999,0.7,0.7,0.571,0.393,0.0232142857142857,Bobby Portis,MIL,2021-22,52.96,9777607.0,3.21,6,Stretch Big,1.360531532981985,-0.7948934078043918
2.309090909090898,-0.0454545454545467,0.0113636363636363,-0.019090909090909,0.2,1.1,0.562,0.368,0.0,Bogdan Bogdanović,ATL,2021-22,40.39,11649571.0,1.6152,5,3-and-D Wing,0.0693648325067067,1.2300549045581728
2.5,-3.0600000000000165,-0.0504666666666666,-0.0262666666666666,0.0,0.5,0.599,0.387,0.0013999999999999,Bojan Bogdanovic,UTA,2021-22,35.35,925258.0,14.8888,5,3-and-D Wing,-0.5071876758952607,0.332339705024362
1.700000000000017,-1.1230769230769226,0.0666923076923076,-0.0089230769230769,0.3,0.6,0.558,0.366,-0.0002307692307692,Bones Hyland,DEN,2021-22,38.75,1669826.0,10.2861,5,3-and-D Wing,-0.1265822395954376,0.8024917561100825
-4.2933333333333366,1.9666666666666688,0.0713999999999999,-0.0257333333333333,0.3,0.3,0.5622052505966587,0.235,-0.0444,Brad Wanamaker,WAS,2021-22,23.51,925258.0,2.0924,0,Bench / Fringe Player,-1.7569148304028377,-0.5844012514221875
-1.1933333333333422,1.7666666666666655,0.1374,-0.0337333333333333,0.4,0.9,0.539,0.3,0.0255999999999999,Bradley Beal,WAS,2021-22,42.06,17988487.0,1.1388,3,Perimeter Playmaker,0.2460603827489229,1.370042916845959
-5.064285714285703,4.749999999999986,-0.0234285714285714,-0.0180714285714285,0.3,0.5,0.481,0.306,-0.0103571428571428,Brandon Boston,LAC,2021-22,22.61,925258.0,1.1197,2,Defensive Specialist,-1.84665345895973,-0.4704384378276816
1.0714285714285836,1.364285714285714,-0.0397142857142857,0.0135714285714285,1.1,0.6,0.66,0.227,0.0409999999999999,Brandon Clarke,MEM,2021-22,59.74,9089865.0,4.1987,6,Stretch Big,2.062307963274968,-1.5116267355029356
-2.6083333333333485,-3.966666666666669,0.1095,-0.0206666666666666,0.0,0.7,0.501,0.345,-0.01325,Brandon Goodwin,CLE,2021-22,26.76,925258.0,5.6049,0,Bench / Fringe Player,-1.3919401775050495,1.428425956603791
4.373333333333335,0.973333333333315,0.1258666666666666,0.014,0.5,0.6,0.554,0.327,0.0434,Brandon Ingram,NOP,2021-22,53.28,27702446.0,1.1445,3,Perimeter Playmaker,1.4169626886364608,0.9961693657503642
-4.009999999999991,-7.324999999999989,0.0656499999999999,-0.0465,0.4,1.0,0.476,0.292,-0.0189999999999999,Brandon Williams,POR,2021-22,26.43,1651254.0,2.9408,0,Bench / Fringe Player,-1.434326848052415,1.3430918156980107
0.1000000000000085,-0.6812500000000057,-0.0146249999999999,-0.0083749999999999,0.7,1.1,0.575,0.404,-0.00525,Bruce Brown,BKN,2021-22,42.91,1669826.0,12.7774,5,3-and-D Wing,0.3257924336904038,0.5410450221162332
-2.3999999999999915,0.776923076923083,-0.0673076923076923,-0.0789230769230769,0.1,0.3,0.574,0.414,-0.0222307692307692,Bryn Forbes,DEN,2021-22,20.09,925258.0,0.0,0,Bench / Fringe Player,-2.123769059077663,-0.0908920608780483
0.980000000000004,-1.9266666666666623,-0.0281333333333333,-0.0165999999999999,0.3,0.9,0.548,0.366,-0.0109999999999999,Buddy Hield,IND,2021-22,35.35,6704330.0,2.0548,5,3-and-D Wing,-0.4867892973120391,0.6179721329724216
-2.6099999999999994,-2.625,-0.06035,0.0054999999999999,0.3,0.6,0.491,0.294,-0.0279999999999999,CJ Elleby,POR,2021-22,24.69,925258.0,3.3677,0,Bench / Fringe Player,-1.6439509917566708,-0.4466740945383379
3.7733333333333263,-3.62666666666668,0.0958666666666666,-0.0369999999999999,0.4,1.1,0.553,0.388,0.0234,CJ McCollum,NOP,2021-22,47.29,22300469.0,1.1532,3,Perimeter Playmaker,0.8010533509420041,2.175565522886871
2.833333333333343,-1.1733333333333178,0.1233999999999999,0.0179999999999999,0.7,1.2,0.504,0.314,0.0146666666666666,Cade Cunningham,DET,2021-22,50.22,33737289.0,0.8491,3,Perimeter Playmaker,1.114606107536812,1.5857127527171442
