ON_OFF_DIFF,INFLUENCE_SCORE,TS_PCT,OFF_RATING_ADJUSTED,DEF_RATING_ADJUSTED,AST_PCT_ADJUSTED,FG3_PCT,STL,BLK,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,SEASON,SALARY,W_PCT,SEASON_WEIGHT,IS_SHOOTER,PC1,PC2,PC3,COMPOSITE_SCORE,COMPOSITE_SCORE_NORM,VAR,VORPD
-2.0307909226016982,0.10738037744145804,0.57731385721214,2.329267902813304,-3.6740522040018098,0.005328390627350683,0.3823441410009625,0.8,0.5,Buddy Hield,1627741,PHI,2023-24,8112243.0,0.548,0.45,1,0.51009238221155,0.155184542206108,-2.1118215744462296,-0.20470287423961409,32.16,15.031999999999996,1.853
-1.0957774149591974,0.1304710491785252,0.5850719694104269,0.9525910311570527,0.08556206866679655,0.0030231930928936498,0.37674830159049266,1.1,0.7,Mikal Bridges,1628969,BKN,2022-23,19917648.0,0.506,0.35,1,1.1187375816636353,-0.08282080882262313,-0.5418601236541566,0.3784791220206437,42.28,25.396,1.2751
1.3510487937469877,0.09900259049442806,0.6187661905901753,1.9484198205228147,-1.373598647418401,-0.05554116269996099,0.34404551201011374,0.5,0.4,KJ Martin,1630231,HOU,2022-23,1017781.0,0.268,0.35,1,0.0743097384844291,-0.9223031679345258,-0.4074890179231162,-0.3312214182500125,29.97,13.085999999999999,12.8574
0.9351411661326803,0.06111641003816259,0.5711814022258186,1.2502454889451733,1.5105006723582541,-0.04368204647090096,0.34717719695410576,0.6,0.8,Isaiah Hartenstein,1628392,NYK,2022-23,22797308.0,0.573,0.35,1,-0.5807068494077442,-1.0029213370665586,1.3953343656566715,-0.24502223396895523,31.46,14.576,0.6394
-6.698040894102398,0.11191501041689597,0.5354785187411291,-2.0040917710112622,0.7559919136199125,0.06440195264139412,0.366278336380256,0.5,0.1,Reggie Jackson,202704,DEN,2023-24,6900000.0,0.695,0.45,1,-1.6136331956644143,1.516307101954132,-0.211021333804686,-0.36575621406600833,29.37,12.242,1.7742
3.634025781361742,0.10374763695263071,0.6175454580513733,2.1280195318109922,-1.0257360333189722,-0.06927545598161712,0.37139526001173007,0.7,0.1,Harrison Barnes,203084,SAC,2022-23,15198206.0,0.585,0.35,1,0.679598947018169,-1.2981219904909167,-0.6270151931480518,-0.20674510961387155,32.13,15.246000000000002,1.0031
-3.7516876615964043,0.13735172347670843,0.6243260158032201,1.1103518702223236,-1.7936453288206877,0.1590986700759123,0.3755198458023986,0.9,0.6,Domantas Sabonis,1627734,SAC,2023-24,37251419.0,0.561,0.45,1,1.783764631213236,0.9253533370597948,-2.0647048482961172,0.6352368681518203,46.73,29.601999999999997,0.7947
1.4259344434931212,0.09918468429862738,0.5903850255870677,2.2380443184746155,-0.02243653452104595,0.05844717242733217,0.3806945305237062,0.5,0.1,Payton Pritchard,1630202,BOS,2023-24,6363558.0,0.78,0.45,1,0.6532575372943624,-0.19534513847286278,-0.4453712249452102,0.14771400551052405,38.27,21.142000000000003,3.3224
-5.86808381511786,0.16174410752984913,0.5735606649994651,-2.6466735966736077,0.7799376299376302,0.06316216216216214,0.34520891094173617,0.8,0.3,Jordan Poole,1629673,GSW,2022-23,25475564.0,0.537,0.35,1,-0.4513959315196264,1.81417033357716,-0.25575641998115445,0.2610750102659044,40.24,23.356,0.9168
0.982782258250694,0.09020845704002432,0.5782593400001559,1.7261945188444592,-0.6277070977616244,-0.03152801559211784,0.37317091997479523,0.8,1.0,Paul Reed,1630194,PHI,2023-24,4695050.0,0.573,0.45,1,0.5594514598783756,-1.026537693231034,-0.22162725317987655,-0.08924372943955346,34.17,17.042,3.6298
-4.713053293917245,0.11968404028246257,0.6044648499114271,1.441553982700774,-1.92638155535799,0.06962123943357582,0.36980337658507817,0.8,0.3,Austin Reaves,1630559,LAL,2023-24,12263662.0,0.573,0.45,1,0.5653008056341237,0.6664003183109727,-1.8219067097359223,0.03937767530727676,36.4,19.272,1.5715
-4.42436533209641,0.12984446751385492,0.579662801401138,0.45373986980205433,-1.3825720738674163,-0.05839899030158095,0.3902040513833992,0.8,0.4,Bobby Portis,1626171,MIL,2023-24,11830910.0,0.598,0.45,1,-0.10116245543723987,-0.46111605794128685,-1.8129291715320028,-0.6055826756287214,25.21,8.082,0.6831
