OFF_RATING_ADJUSTED,DEF_RATING_ADJUSTED,AST_PCT_ADJUSTED,BLK,STL,TS_PCT,FG3_PCT,INFLUENCE_SCORE,ON_OFF_DIFF,PLAYER_NAME,PLAYER_ID,TEAM_ABBREVIATION,SEASON,COMPOSITE_SCORE_NORM,SALARY,VORPD,IS_SHOOTER,SEASON_WEIGHT,CLUSTER,ARCHETYPE,PCA_X,PCA_Y,AGE,NET_SYNERGY_PROFILE,COMPOSITE_SYNERGY,SCENARIO
5.895497837149516,0.1884999308460223,0.1546999432460403,0.2,0.9,0.5895968312836063,0.3921450357325166,0.1833646145292015,10.07745424971326,Jalen Brunson,1628973,NYK,2023-24,76.62,30747204.0,1.9349,1,0.45,0,Elite Playmaker,4.501035707396757,0.9412563564025463,27.0,3.66071428571428,78.0843,G
5.542822743514052,1.1741805188752512,0.0309661332919061,1.1,1.1,0.5639174069243964,0.3404728075170843,0.1054525550948621,8.846131109604352,Jusuf Nurkić,203994,PHX,2023-24,66.78,17048050.0,2.9125,1,0.45,3,Perimeter Scorer,2.7125440176961417,0.1605458846602769,29.0,2.2906249999999977,67.6963,G
5.3512391604257,-0.5540106424911332,0.005078430889502,0.4,1.6,0.5512455773460978,0.3678706641285956,0.0975704671902593,5.731671788319633,De'Anthony Melton,1629001,PHI,2023-24,61.92,2710900.0,16.5229,1,0.45,3,Perimeter Scorer,2.386191010429488,0.7214848318034613,26.0,-0.7050000000000068,61.638,G
6.493535854826188,0.4665112665112656,-0.0562070832393413,0.6,1.3,0.5934312801582402,0.3915865115465361,0.0747723412999382,12.02161327822596,Kentavious Caldwell-Pope,203484,DEN,2023-24,55.4,19024744.0,2.0117,1,0.45,3,Perimeter Scorer,3.1928535197483066,-1.9738160510063647,31.0,5.327499999999994,57.531,G
3.784894005334829,0.3384528990593863,0.1092955215499087,0.1,0.5,0.5457607220898272,0.3385703125,0.1031487764749773,0.6136817935642613,Vasilije Micic,203995,CHA,2023-24,51.77,2000000.0,17.321,1,0.45,6,Versatile Scorer,0.3631273025515998,1.850921870157269,30.0,-4.327499999999999,50.039,G
3.8405157083580335,1.8889152341434488,-0.0574614700652045,0.5,0.3,0.5970493616165677,0.3624542253521127,0.0997072433899668,7.576517140229393,Chris Boucher,1628449,TOR,2023-24,39.56,2020490.0,11.1023,1,0.45,3,Perimeter Scorer,1.0583089483558348,-1.853292424226268,31.0,7.8350000000000035,42.694,G
1.5695624603677922,2.8674698795180724,-0.0132306066370746,0.6,0.4,0.5789796499214397,0.3580255681818182,0.0804781713390801,6.158867567209481,Jock Landale,1629111,HOU,2023-24,39.6,2020490.0,11.1221,1,0.45,2,Defensive Wing,0.3624251662862367,-1.2283351249041314,28.0,5.306249999999992,41.7225,G
2.5852480417754644,1.171348083001234,-0.0231903256836608,2.3,0.6,0.619260795296133,0.3718303134182175,0.1300447670121879,0.995728243715994,Chet Holmgren,1631096,OKC,2023-24,39.41,12082222.0,1.8442,1,0.45,4,Two-Way Big,2.20430922802146,-2.6917429292991213,22.0,2.049999999999995,40.23,G
3.980558571930777,-2.065384164681064,-0.062176110308191,0.2,0.8,0.5563942186104057,0.3404891778387982,0.0906922576334961,2.461983777942496,Saddiq Bey,1630180,ATL,2023-24,39.51,5383791.0,4.1573,1,0.45,6,Versatile Scorer,0.085158142409625,0.3783924186381953,25.0,1.1166666666666718,39.9567,G
4.976050200615851,0.4983717458243956,-0.0487254222263693,0.3,0.7,0.5917102420905667,0.3893695105598391,0.0940819284924001,4.743701266977726,Simone Fontecchio,1631323,DET,2023-24,39.34,7309933.0,3.0386,1,0.45,3,Perimeter Scorer,1.476019940875323,-1.6315377951355163,28.0,0.5034090909090897,39.5414,G
4.859730200384561,-3.603971411640938,-0.0080526236228851,0.3,0.9,0.5669097647652619,0.3547044914448669,0.0912724721272071,-4.38584864126512,Bruce Brown,1628971,TOR,2023-24,35.42,2020490.0,9.0532,1,0.45,6,Versatile Scorer,0.1615220998226673,0.7254554306086312,27.0,-1.7032051282051204,34.7387,G
3.4991598655784864,0.3484877580412903,-0.0222232357177148,0.8,0.5,0.5989497812787064,0.3699023307479622,0.095831965004593,3.0725901632819497,Neemias Queta,1629674,BOS,2023-24,36.85,2067392.0,9.5396,0,0.45,3,Perimeter Scorer,1.0558382192644855,-1.538719359100818,24.0,-5.5,34.65,G
4.485862477771184,-0.9531713100177917,-0.0254973325429756,0.6,0.9,0.6491871406706196,0.4289163701067616,0.0928337611158985,3.422441257325652,Grayson Allen,1628960,PHX,2023-24,33.17,14848301.0,1.0804,1,0.45,3,Perimeter Scorer,2.628328251238025,-3.1525372011663166,28.0,-0.3416666666666659,33.0333,G
3.2627963737796315,-1.045536959553698,-0.0601484193398419,1.4,0.7,0.6545370405456612,0.3699023307479622,0.0811625930276619,2.722712169350124,Dereck Lively II,1641726,DAL,2023-24,30.45,4622428.0,2.882,0,0.45,4,Two-Way Big,1.6682810795559535,-3.101036784943168,20.0,1.655555555555553,31.1122,G
3.639072432626011,-1.0669531739636455,-0.0301509535320977,0.5,0.6,0.5840126695267477,0.3746992765814266,0.0916899891156993,-3.293167355374823,Grant Williams,1629684,CHA,2023-24,28.48,12006667.0,0.9455,1,0.45,1,Bench / Role Player,0.1130699568733764,-0.826793707706163,25.0,-2.669791666666668,27.4121,G
