PLAYER_A_ID,PLAYER_B_ID,Player Pair,Shared Minutes,Defensive Synergy,Offensive Synergy,Net Synergy,Scaled Net Synergy,Player A Archetype,Player B Archetype
202691,1641764,K. Thompson - B. Podziemski,882.0,-2.75,-1.8500000000000083,-4.6000000000000085,-3.68,Bench / Role Player,Perimeter Scorer
204060,1630175,J. Ingles - C. Anthony,880.0,0.9500000000000028,0.25,1.2000000000000028,0.96,Perimeter Scorer,Versatile Scorer
1630175,1631094,C. Anthony - P. Banchero,879.0,-0.8499999999999943,-2.75,-3.5999999999999943,-2.88,Versatile Scorer,Versatile Scorer
203915,1629651,S. Dinwiddie - N. Claxton,878.0,-1.5499999999999972,-3.0,-4.549999999999997,-3.64,Versatile Scorer,Two-Way Big
1629622,1630171,M. Strus - I. Okoro,876.0,2.5,-1.5999999999999943,0.9000000000000057,0.72,Defensive Wing,Bench / Role Player
1629640,1631103,K. Johnson - M. Branham,870.0,-1.6500000000000057,-1.7999999999999972,-3.450000000000003,-2.76,Bench / Role Player,Bench / Role Player
1627827,1630560,D. Finney-Smith - C. Thomas,870.0,2.450000000000003,-2.8499999999999943,-0.3999999999999915,-0.32,Defensive Wing,Versatile Scorer
203497,203937,R. Gobert - K. Anderson,867.0,2.25,-4.049999999999997,-1.7999999999999972,-1.44,Two-Way Big,Bench / Role Player
1628991,1631246,J. Jackson Jr. - V. Williams Jr.,867.0,3.550000000000012,2.200000000000003,5.750000000000014,4.6,Two-Way Big,Perimeter Scorer
1629640,1630200,K. Johnson - T. Jones,867.0,1.049999999999983,1.2000000000000028,2.249999999999986,1.8,Bench / Role Player,Defensive Wing
203081,1626192,D. Lillard - P. Connaughton,861.0,3.1500000000000057,-1.3499999999999943,1.8000000000000114,1.44,Elite Playmaker,Bench / Role Player
201566,202331,R. Westbrook - P. George,858.0,1.3499999999999943,-0.5499999999999972,0.7999999999999972,0.64,Versatile Scorer,Elite Playmaker
1627783,1630174,P. Siakam - A. Nesmith,857.0,2.8500000000000085,0.450000000000017,3.3000000000000256,2.64,Perimeter Scorer,Perimeter Scorer
1626145,1641731,T. Jones - B. Coulibaly,855.0,-3.3499999999999943,-2.700000000000003,-6.049999999999997,-4.84,Elite Playmaker,Bench / Role Player
203914,1630532,G. Harris - F. Wagner,854.0,2.549999999999997,-0.3499999999999943,2.200000000000003,1.76,Perimeter Scorer,Versatile Scorer
1629027,1630168,T. Young - O. Okongwu,854.0,1.9500000000000028,-1.3499999999999943,0.6000000000000085,0.48,Elite Playmaker,Two-Way Big
201569,203994,E. Gordon - J. Nurkic,852.0,2.75,0.0499999999999971,2.799999999999997,2.24,Perimeter Scorer,Perimeter Scorer
1628378,1630171,D. Mitchell - I. Okoro,852.0,3.75,-2.4000000000000057,1.3499999999999943,1.08,Elite Playmaker,Bench / Role Player
201939,1626172,S. Curry - K. Looney,850.0,-2.8500000000000085,-0.1499999999999914,-3.0,-2.4,Elite Playmaker,Bench / Role Player
1627777,1630171,G. Niang - I. Okoro,845.0,-0.6999999999999886,-1.4500000000000028,-2.1499999999999915,-1.72,Bench / Role Player,Bench / Role Player
203471,1627751,D. Schroder - J. Poeltl,844.0,1.0000000000000142,-0.7999999999999972,0.200000000000017,0.16,Versatile Scorer,Two-Way Big
1626167,1627783,M. Turner - P. Siakam,839.0,2.4000000000000057,-1.6999999999999886,0.700000000000017,0.56,Two-Way Big,Perimeter Scorer
1631103,1641705,M. Branham - V. Wembanyama,836.0,1.2999999999999972,-0.8000000000000114,0.4999999999999858,0.4,Bench / Role Player,Two-Way Big
1629048,1631094,G. Bitadze - P. Banchero,835.0,-0.9000000000000057,2.700000000000003,1.7999999999999972,1.44,Two-Way Big,Versatile Scorer
202699,1630194,T. Harris - P. Reed,835.0,0.7999999999999972,-0.5500000000000114,0.2499999999999858,0.2,Perimeter Scorer,Perimeter Scorer
1627747,1629636,C. LeVert - D. Garland,833.0,3.500000000000014,-1.7999999999999972,1.700000000000017,1.36,Versatile Scorer,Elite Playmaker
1627777,1629636,G. Niang - D. Garland,830.0,-0.6499999999999915,1.5499999999999972,0.9000000000000057,0.72,Bench / Role Player,Elite Playmaker
202704,203932,R. Jackson - A. Gordon,829.0,1.8499999999999943,-3.1000000000000085,-1.2500000000000142,-1.0,Bench / Role Player,Perimeter Scorer
1627747,1629622,C. LeVert - M. Strus,827.0,2.25,0.3000000000000113,2.550000000000012,2.04,Versatile Scorer,Defensive Wing
203915,1627827,S. Dinwiddie - D. Finney-Smith,825.0,0.6000000000000085,1.5,2.1000000000000085,1.68,Versatile Scorer,Defensive Wing
202691,1626172,K. Thompson - K. Looney,820.0,-2.8500000000000085,0.2000000000000028,-2.6500000000000057,-2.12,Bench / Role Player,Bench / Role Player
1626162,1630194,K. Oubre Jr. - P. Reed,818.0,-1.5,0.5000000000000142,-0.9999999999999858,-0.8,Versatile Scorer,Perimeter Scorer
